Time,Value
2017-05-07,0.0
2017-05-14,1.2
2017-05-21,2.4
2017-05-28,3.6
2017-06-04,4.8
2017-06-11,6.0
2017-06-18,7.2
2017-06-25,1.4
2017-07-02,2.6
2017-07-09,3.8
2017-07-16,5.0
2017-07-23,6.2
2017-07-30,7.4
2017-08-06,8.6
2017-08-13,2.8
2017-08-20,4.0
2017-08-27,5.2
2017-09-03,6.4
2017-09-10,7.6
2017-09-17,8.8
2017-09-24,10.0
2017-10-01,4.2
2017-10-08,5.4
2017-10-15,6.6
2017-10-22,7.8
2017-10-29,9.0
2017-11-05,10.2
2017-11-12,11.4
2017-11-19,5.6
2017-11-26,6.8
2017-12-03,13.0
2017-12-10,9.2
2017-12-17,10.4
2017-12-24,11.6
2017-12-31,12.8
2018-01-07,7.0
2018-01-14,8.2
2018-01-21,9.4
2018-01-28,10.6
2018-02-04,11.8
2018-02-11,13.0
2018-02-18,14.2
2018-02-25,8.4
2018-03-04,9.6
2018-03-11,10.8
2018-03-18,12.0
2018-03-25,13.2
2018-04-01,14.4
2018-04-08,15.6
2018-04-15,9.8
2018-04-22,11.0
2018-04-29,12.2
2018-05-06,13.4
2018-05-13,14.6
2018-05-20,15.8
2018-05-27,17.0
2018-06-03,11.2
2018-06-10,12.4
2018-06-17,13.6
2018-06-24,14.8
2018-07-01,16.0
2018-07-08,17.2
2018-07-15,18.4
2018-07-22,12.6
2018-07-29,13.8
2018-08-05,15.0
2018-08-12,16.2
2018-08-19,17.4
2018-08-26,18.6
2018-09-02,19.8
2018-09-09,14.0
2018-09-16,15.2
2018-09-23,16.4
2018-09-30,17.6
2018-10-07,18.8
2018-10-14,20.0
2018-10-21,21.2
2018-10-28,15.4
2018-11-04,16.6
2018-11-11,17.8
2018-11-18,19.0
2018-11-25,20.2
2018-12-02,21.4
2018-12-09,22.6
2018-12-16,16.8
2018-12-23,18.0
2018-12-30,19.2
2019-01-06,20.4
2019-01-13,21.6
2019-01-20,22.8
2019-01-27,24.0
2019-02-03,18.2
2019-02-10,19.4
2019-02-17,20.6
2019-02-24,21.8
2019-03-03,23.0
2019-03-10,24.2
2019-03-17,25.4
2019-03-24,19.6
2019-03-31,20.8
